
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.025056,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,0.0000,0.0000,0.0000,
0.036926,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,0.0000,0.0000,0.0000,
0.045235,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,0.0000,0.0000,0.0000,
0.050354,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,18.1050,-12.7800,-26.1390,
0.065142,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,18.1050,-12.7800,-26.1390,
0.086313,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,18.1050,-12.7800,-26.1390,
0.096834,0.0000,0.0000,0.0000,0.0660,-0.0525,0.0782,18.1050,-12.7800,-26.1390,
0.097576,-0.0055,-0.0580,-0.1481,0.0660,-0.0525,0.0782,18.1050,-12.7800,-26.1390,
0.105255,-0.0055,-0.0580,-0.1481,0.0660,-0.0525,0.0782,18.1050,-12.7800,-26.1390,
0.110383,-0.0055,-0.0580,-0.1481,0.0660,-0.0525,0.0782,17.8730,-12.6260,-27.2420,
0.125247,-0.0055,-0.0580,-0.1481,-0.1142,0.0403,-0.0177,17.8730,-12.6260,-27.2420,
0.144861,-0.0055,-0.0580,-0.1481,-0.0782,0.0794,-0.0415,17.8730,-12.6260,-27.2420,
0.156891,-0.0055,-0.0580,-0.1481,-0.0782,0.0794,-0.0415,17.8730,-12.6260,-27.2420,
0.157550,-0.0299,0.0449,0.3901,-0.0782,0.0794,-0.0415,17.8730,-12.6260,-27.2420,
0.164934,-0.0299,0.0449,0.3901,-0.0281,0.0605,-0.0623,17.8730,-12.6260,-27.2420,
0.168651,-0.0299,0.0449,0.3901,-0.0281,0.0605,-0.0623,17.2990,-12.4090,-27.5700,
0.185244,-0.0299,0.0449,0.3901,0.0104,0.0525,-0.0458,17.2990,-12.4090,-27.5700,
0.205174,-0.0299,0.0449,0.3901,0.0012,0.0073,-0.0244,17.2990,-12.4090,-27.5700,
0.218728,-0.0299,0.0449,0.3901,0.0012,0.0073,-0.0244,17.2990,-12.4090,-27.5700,
0.219353,-0.1135,0.0575,0.1568,0.0012,0.0073,-0.0244,17.2990,-12.4090,-27.5700,
0.225058,-0.1135,0.0575,0.1568,-0.0073,-0.0507,-0.0153,17.2990,-12.4090,-27.5700,
0.229385,-0.1135,0.0575,0.1568,-0.0073,-0.0507,-0.0153,17.6710,-11.9250,-29.2310,
0.245075,-0.1135,0.0575,0.1568,0.0147,-0.0336,-0.0031,17.6710,-11.9250,-29.2310,
0.265131,-0.1135,0.0575,0.1568,0.0733,0.0415,0.0202,17.6710,-11.9250,-29.2310,
0.277225,-0.1135,0.0575,0.1568,0.0733,0.0415,0.0202,17.6710,-11.9250,-29.2310,
0.277871,-0.0847,-0.0731,-0.0867,0.0733,0.0415,0.0202,17.6710,-11.9250,-29.2310,
0.285400,-0.0847,-0.0731,-0.0867,0.1185,0.0739,0.0654,17.6710,-11.9250,-29.2310,
0.289831,-0.0847,-0.0731,-0.0867,0.1185,0.0739,0.0654,18.5090,-11.4870,-30.7840,
0.305879,-0.0847,-0.0731,-0.0867,0.1356,0.0825,0.1234,18.5090,-11.4870,-30.7840,
0.325457,-0.0847,-0.0731,-0.0867,0.0843,-0.0263,0.1368,18.5090,-11.4870,-30.7840,
0.337641,-0.0847,-0.0731,-0.0867,0.0843,-0.0263,0.1368,18.5090,-11.4870,-30.7840,
0.338434,0.1537,0.1293,-0.3775,0.0843,-0.0263,0.1368,18.5090,-11.4870,-30.7840,
0.346118,0.1537,0.1293,-0.3775,0.0177,-0.1203,0.1179,18.5090,-11.4870,-30.7840,
0.350498,0.1537,0.1293,-0.3775,0.0177,-0.1203,0.1179,18.1930,-11.3120,-27.4710,
0.365528,0.1537,0.1293,-0.3775,-0.0183,-0.1466,0.0666,18.1930,-11.3120,-27.4710,
0.386584,0.1537,0.1293,-0.3775,0.0006,-0.0886,0.0428,18.1930,-11.3120,-27.4710,
0.397427,0.1537,0.1293,-0.3775,0.0006,-0.0886,0.0428,18.1930,-11.3120,-27.4710,
0.398260,0.1599,-0.1125,-0.0914,0.0006,-0.0886,0.0428,18.1930,-11.3120,-27.4710,
0.406614,0.1599,-0.1125,-0.0914,0.0031,-0.0360,0.0421,18.1930,-11.3120,-27.4710,
0.410223,0.1599,-0.1125,-0.0914,0.0031,-0.0360,0.0421,17.7290,-11.3490,-26.3630,
0.425563,0.1599,-0.1125,-0.0914,-0.0208,-0.0006,0.0501,17.7290,-11.3490,-26.3630,
0.445195,0.1599,-0.1125,-0.0914,-0.0654,0.0434,0.0446,17.7290,-11.3490,-26.3630,
0.457464,0.1599,-0.1125,-0.0914,-0.0654,0.0434,0.0446,17.7290,-11.3490,-26.3630,
0.458276,0.2455,0.0672,0.1106,-0.0654,0.0434,0.0446,17.7290,-11.3490,-26.3630,
0.465182,0.2455,0.0672,0.1106,-0.1063,0.0611,0.0055,17.7290,-11.3490,-26.3630,
