x,y
0.00,0.00
1.96,0.00
3.28,0.00
4.08,-0.46
4.58,-1.33
4.58,-2.05
4.17,-2.75
3.41,-3.19
1.93,-3.19
1.18,-2.76
0.74,-2.00
0.74,-1.19
1.07,-0.62
3.28,0.00
