x,y
0.00,0.00
0.00,2.36
3.39,2.36
3.39,5.20
5.52,5.20
5.52,6.95
5.52,10.08
5.52,13.47
5.52,16.27
10.16,16.27
11.17,16.27
15.80,16.27
15.80,20.02
15.80,26.19
