
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.023320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.033330,0.0000,0.0000,0.0000,-0.2303,0.0959,0.0128,0.0000,0.0000,0.0000,
0.039335,0.0000,0.0000,0.0000,-0.2303,0.0959,0.0128,-10.6260,-22.1180,-16.6740,
0.051753,0.0000,0.0000,0.0000,-0.2303,0.0959,0.0128,-10.6260,-22.1180,-16.6740,
0.072074,0.0000,0.0000,0.0000,-0.2303,0.0959,0.0128,-10.6260,-22.1180,-16.6740,
0.080334,0.0000,0.0000,0.0000,-0.2303,0.0959,0.0128,-10.6260,-22.1180,-16.6740,
0.080718,-0.0081,0.0443,0.1087,-0.2303,0.0959,0.0128,-10.6260,-22.1180,-16.6740,
0.091769,-0.0081,0.0443,0.1087,-0.2303,0.0959,0.0128,-10.6260,-22.1180,-16.6740,
0.097692,-0.0081,0.0443,0.1087,-0.2303,0.0959,0.0128,-11.3240,-23.6620,-17.8780,
0.112414,-0.0081,0.0443,0.1087,-0.2303,0.0959,0.0128,-11.3240,-23.6620,-17.8780,
0.131789,-0.0081,0.0443,0.1087,0.0458,0.0153,-0.0397,-11.3240,-23.6620,-17.8780,
0.140211,-0.0081,0.0443,0.1087,0.0458,0.0153,-0.0397,-11.3240,-23.6620,-17.8780,
0.140574,0.1486,-0.0260,-0.4386,0.0458,0.0153,-0.0397,-11.3240,-23.6620,-17.8780,
0.153026,0.1486,-0.0260,-0.4386,-0.0373,-0.0159,-0.0464,-11.3240,-23.6620,-17.8780,
0.156254,0.1486,-0.0260,-0.4386,-0.0373,-0.0159,-0.0464,-12.8920,-24.3640,-17.6440,
0.171870,0.1486,-0.0260,-0.4386,-0.0996,0.0611,-0.0538,-12.8920,-24.3640,-17.6440,
0.192022,0.1486,-0.0260,-0.4386,-0.1130,0.1753,-0.0580,-12.8920,-24.3640,-17.6440,
0.200160,0.1486,-0.0260,-0.4386,-0.1130,0.1753,-0.0580,-12.8920,-24.3640,-17.6440,
0.200524,0.1540,-0.0758,-0.1633,-0.1130,0.1753,-0.0580,-12.8920,-24.3640,-17.6440,
0.211996,0.1540,-0.0758,-0.1633,-0.1356,0.2346,-0.0550,-12.8920,-24.3640,-17.6440,
0.216823,0.1540,-0.0758,-0.1633,-0.1356,0.2346,-0.0550,-12.7290,-23.7890,-16.5430,
0.232395,0.1540,-0.0758,-0.1633,-0.1185,0.2456,-0.0342,-12.7290,-23.7890,-16.5430,
0.252105,0.1540,-0.0758,-0.1633,-0.0623,0.1930,-0.0238,-12.7290,-23.7890,-16.5430,
0.260257,0.1540,-0.0758,-0.1633,-0.0623,0.1930,-0.0238,-12.7290,-23.7890,-16.5430,
0.260651,-0.1205,0.0157,0.2157,-0.0623,0.1930,-0.0238,-12.7290,-23.7890,-16.5430,
0.272602,-0.1205,0.0157,0.2157,-0.0098,0.1155,-0.0104,-12.7290,-23.7890,-16.5430,
0.277105,-0.1205,0.0157,0.2157,-0.0098,0.1155,-0.0104,-10.0920,-24.5510,-17.6610,
0.292149,-0.1205,0.0157,0.2157,-0.0024,0.0544,0.0122,-10.0920,-24.5510,-17.6610,
0.312655,-0.1205,0.0157,0.2157,-0.0226,-0.0415,0.0324,-10.0920,-24.5510,-17.6610,
0.321432,-0.1205,0.0157,0.2157,-0.0226,-0.0415,0.0324,-10.0920,-24.5510,-17.6610,
0.321806,-0.1366,0.1557,0.1572,-0.0226,-0.0415,0.0324,-10.0920,-24.5510,-17.6610,
0.331535,-0.1366,0.1557,0.1572,-0.0348,-0.1289,0.0623,-10.0920,-24.5510,-17.6610,
0.336630,-0.1366,0.1557,0.1572,-0.0348,-0.1289,0.0623,-8.8340,-24.8090,-19.5460,
0.353067,-0.1366,0.1557,0.1572,-0.0183,-0.1527,0.0715,-8.8340,-24.8090,-19.5460,
0.372345,-0.1366,0.1557,0.1572,0.0275,-0.0757,0.0837,-8.8340,-24.8090,-19.5460,
0.380158,-0.1366,0.1557,0.1572,0.0275,-0.0757,0.0837,-8.8340,-24.8090,-19.5460,
0.380627,0.1719,0.0238,0.2099,0.0275,-0.0757,0.0837,-8.8340,-24.8090,-19.5460,
0.392567,0.1719,0.0238,0.2099,0.0379,-0.0275,0.0660,-8.8340,-24.8090,-19.5460,
0.396767,0.1719,0.0238,0.2099,0.0379,-0.0275,0.0660,-9.6190,-24.3320,-19.1010,
0.412262,0.1719,0.0238,0.2099,0.0122,0.0018,0.0538,-9.6190,-24.3320,-19.1010,
0.433003,0.1719,0.0238,0.2099,-0.0086,0.0544,0.0531,-9.6190,-24.3320,-19.1010,
0.441147,0.1719,0.0238,0.2099,-0.0086,0.0544,0.0531,-9.6190,-24.3320,-19.1010,
